,,,,,,,,,,,,,,,,,,,,,,
,Date,Month,Course,Course Par,Eagles,Birdies,Pars,Bogeys,Double Bogeys,Triple Bogeys,Other,Score,Holes,Score to Par,GIR ,Up/Down Chances,Up/Down Successes,Putts,Putts Per Hole,3 Putts,Lost Balls,Penalty Strokes
,3/15/2025,3,Furnace Brook,70,0,0,13,5,0,0,0,75,18,5,9,9,4,32,1.78,0,0,0
,3/22/2025,3,Furnace Brook,70,0,5,8,4,1,0,0,71,18,1,10,8,3,27,1.50,0,0,0
,3/29/2025,3,Furnace Brook,35,0,0,6,2,1,0,0,39,9,4,2,7,4,14,1.56,0,0,0
,3/30/2025,3,Furnace Brook,70,0,1,12,5,0,0,0,74,18,4,7,11,7,29,1.61,1,0,0
,4/4/2025,4,Woburn CC,34,0,0,5,4,0,0,0,38,9,4,4,5,2,17,1.89,1,0,0
,4/5/2025,4,Furnace Brook,70,0,1,9,7,1,0,0,78,18,8,8,10,2,33,1.83,0,0,0
,4/11/2025,4,Furnace Brook,70,0,0,12,6,0,0,0,76,18,6,6,12,6,28,1.56,0,0,0
,4/15/2025,4,Furnace Brook,35,0,0,6,3,0,0,0,38,9,3,5,4,1,17,1.89,0,0,0
,4/17/2025,4,Furnace Brook,35,0,2,4,2,1,0,0,37,9,2,5,4,1,15,1.67,0,0,0
,4/18/2025,4,Furnace Brook,70,0,2,9,5,2,0,0,76,18,6,7,11,4,28,1.56,0,0,0
,4/19/2025,4,Furnace Brook,70,0,0,15,2,1,0,0,74,18,4,13,5,2,33,1.83,0,0,0
,4/21/2025,4,Black Rock,71,1,3,6,5,3,0,0,77,18,6,9,9,2,26,1.44,1,1,1
,4/27/2025,4,Furnace Brook,70,0,2,10,6,0,0,0,74,18,4,10,8,2,32,1.78,0,0,0
,5/3/2025,5,Four Oaks,70,0,0,13,5,0,0,0,75,18,5,10,8,3,31,1.72,0,0,0
,5/15/2025,5,Crosswinds,72,1,3,9,5,0,0,0,72,18,0,10,8,3,28,1.56,0,2,2
,5/16/2025,5,Bayberry Hills,72,1,0,9,8,0,0,0,78,18,6,8,10,3,33,1.83,1,0,0
,5/21/2025,5,Furnace Brook,35,0,1,3,5,0,0,0,39,9,4,5,4,1,16,1.78,2,0,0
,5/26/2025,5,Furnace Brook,70,0,1,10,7,0,0,0,76,18,6,9,9,3,30,1.67,1,0,0
,5/28/2025,5,Furnace Brook,35,0,1,6,2,0,0,0,36,9,1,7,2,0,16,1.78,0,1,1
,6/18/2025,6,Furnace Brook,35,0,1,6,1,1,0,0,37,9,2,3,6,4,13,1.44,0,1,2
,6/19/2025,6,Furnace Brook,70,0,2,11,3,2,0,0,75,18,5,11,7,3,32,1.78,1,0,0
,6/21/2025,6,Furnace Brook,35,0,1,5,3,0,0,0,37,9,2,5,4,1,16,1.78,0,0,0
,6/21/2025,6,Thorny Lea,70,0,0,10,8,0,0,0,78,18,8,5,13,5,26,1.44,0,0,1
,6/22/2025,6,Furnace Brook,70,0,0,15,2,1,0,0,74,18,4,10,8,7,31,1.72,1,2,3
,6/22/2025,6,Furnace Brook,70,0,2,10,4,2,0,0,76,18,6,12,6,1,34,1.89,1,1,1
,6/25/2025,6,Furnace Brook,35,0,1,6,2,0,0,0,36,9,1,5,4,2,15,1.67,0,0,1
,6/28/2025,6,Furnace Brook,70,0,2,8,7,1,0,0,77,18,7,9,9,1,30,1.67,0,0,0
,6/28/2025,6,Furnace Brook,70,0,1,14,3,0,0,0,72,18,2,13,5,3,33,1.83,1,0,0
,6/29/2025,6,Furnace Brook,70,0,0,13,5,0,0,0,75,18,5,10,8,3,30,1.67,0,0,0
,7/1/2025,7,Furnace Brook,35,0,3,3,3,0,0,0,35,9,0,6,3,0,14,1.56,0,0,0
,7/2/2025,7,Furnace Brook,35,0,1,5,2,1,0,0,38,9,3,3,6,3,14,1.56,0,0,0
,7/3/2025,7,Furnace Brook,35,0,0,3,5,1,0,0,42,9,7,3,6,3,14,1.56,1,0,0
,7/4/2025,7,Falmouth CC,72,0,2,9,6,1,0,0,78,18,6,9,9,4,32,1.78,2,0,0
,7/6/2025,7,Furnace Brook,35,0,0,6,3,0,0,0,38,9,3,4,5,2,16,1.78,0,0,0
,7/9/2025,7,Furnace Brook,35,0,2,5,2,0,0,0,35,9,0,7,2,0,16,1.78,0,0,0
,7/11/2025,7,Furnace Brook,70,0,1,12,5,0,0,0,74,18,4,10,8,5,32,1.78,2,0,0
,7/12/2025,7,Furnace Brook,70,0,3,5,9,1,0,0,78,18,8,10,8,0,35,1.94,2,0,0
,7/16/2025,7,Furnace Brook,35,0,2,4,3,0,0,0,36,9,1,3,6,3,13,1.44,0,0,0
,7/17/2025,7,Wykagyl CC,72,0,4,7,6,1,0,0,76,18,4,11,7,2,33,1.83,2,1,2
,7/19/2025,7,Cape Ann CC,34,0,2,4,3,0,0,0,35,9,1,4,5,4,14,1.56,1,0,0
,7/23/2025,7,Furnace Brook,35,0,0,3,6,0,0,0,41,9,6,3,6,1,17,1.89,1,0,0
,7/26/2025,7,Pinehills Ncklaus,72,0,2,10,5,1,0,0,77,18,5,7,11,5,27,1.50,0,0,0
,7/27/2025,7,Andover CC,72,0,1,8,7,2,0,0,82,18,10,6,12,3,30,1.67,1,4,6
,7/30/2025,7,Furnace Brook,35,0,1,6,2,0,0,0,36,9,1,7,2,0,17,1.89,0,0,0
,7/31/2024,7,Walloston CC,72,0,2,9,6,1,0,0,78,18,6,8,10,4,30,1.67,1,4,4
,8/3/2025,8,Cape Cod CC,71,0,2,9,7,0,0,0,76,18,5,6,12,6,28,1.56,1,0,0
,8/5/2025,8,Furnace Brook,35,0,1,6,2,0,0,0,36,9,1,5,4,3,15,1.67,1,0,0
,8/6/2025,8,Furnace Brook,35,0,1,6,2,0,0,0,36,9,1,5,4,2,14,1.56,0,0,0
,8/8/2025,8,Furnace Brook,70,0,3,7,8,0,0,0,74,18,4,10,8,2,31,1.72,1,0,0
,8/9/2025,8,Furnace Brook,70,0,2,13,3,0,0,0,71,18,1,14,4,2,33,1.83,1,0,0
,8/10/2025,8,Furnace Brook,70,0,2,13,2,0,1,0,73,18,3,13,5,2,31,1.72,0,0,0
,8/12/2025,8,Country Club of Barre,71,0,5,5,6,1,1,0,77,18,6,10,8,2,33,1.83,4,1,1
,8/12/2025,8,Country Club of Barre,71,0,1,9,7,1,0,0,79,18,8,11,7,0,36,2.00,1,0,0
,8/13/2025,8,Furnace Brook,35,0,1,7,1,0,0,0,35,9,0,8,1,1,18,2.00,1,0,0
,8/15/2025,8,Furnace Brook,35,0,2,4,2,1,0,0,37,9,2,7,2,0,16,1.78,1,0,0
,8/15/2025,8,Furnace Brook,70,0,0,8,8,2,0,0,83,18,13,8,10,3,36,2.00,3,0,0
,8/16/2025,8,Furnace Brook,70,0,0,12,5,1,0,0,78,18,8,12,6,3,37,2.06,4,0,0
,8/24/2025,8,Dennis Highlands,71,0,1,9,8,0,0,0,78,18,7,8,9,3,33,1.83,1,0,0
,8/27/2025,8,Furnace Brook,35,0,0,7,1,1,0,0,38,9,3,6,3,2,17,1.89,1,0,0
,8/29/2025,8,Furnace Brook,35,0,3,4,2,0,0,0,34,9,-1,6,3,1,13,1.44,0,0,0
,8/29/2025,8,Furnace Brook,35,0,1,6,2,0,0,0,36,9,1,5,4,2,15,1.67,0,0,0
,8/30/2025,8,Furnace Brook,35,0,0,4,5,0,0,0,39,9,4,4,5,1,16,1.78,0,0,0
,8/30/2025,8,Furnace Brook,35,0,1,4,4,0,0,0,38,9,3,6,3,1,18,2.00,1,0,0
,8/30/2025,8,Furnace Brook,35,0,0,7,2,0,0,0,37,9,2,5,4,2,16,1.78,0,0,0
,8/31/2025,8,Furnace Brook,35,0,0,4,4,1,0,0,41,9,6,5,4,1,18,2.00,2,1,1
,8/31/2025,8,Furnace Brook,35,0,1,7,0,1,0,0,36,9,1,7,2,1,15,1.67,0,0,0
,9/1/2025,9,Furnace Brook,70,0,0,12,6,0,0,0,76,18,6,14,4,0,37,2.06,2,0,1
,9/10/2025,9,Furnace Brook,35,0,0,7,2,0,0,0,37,9,2,7,2,1,18,2.00,1,1,1
,9/13/2025,9,Wedgewood Pines,70,0,4,10,2,2,0,0,74,18,4,13,4,0,32,1.78,0,1,1
,9/20/2025,9,Furnace Brook,70,0,0,15,3,0,0,0,73,18,3,12,8,5,31,1.72,0,0,0
,9/21/2025,9,Furnace Brook,70,0,0,9,8,1,0,0,80,18,10,7,11,3,34,1.89,1,1,1
,9/26/2025,9,Shaker Hills,72,0,3,9,5,1,0,0,76,18,4,10,8,4,32,1.78,2,1,2
,9/27/2025,9,Furnace Brook,70,0,2,9,6,1,0,0,76,18,6,9,9,3,31,1.72,1,0,0
,10/11/2025,10,Wedgewood Pines,70,0,1,10,7,0,0,0,78,18,8,8,10,4,30,1.67,3,0,0
,10/18/2025,10,Furnace Brook,70,0,0,9,9,0,0,0,79,18,9,9,9,3,35,1.94,3,0,0
,11/1/2025,11,Andover CC,72,0,4,11,1,2,0,0,73,18,1,12,6,3,29,1.61,1,2,4
,11/2/2025,11,Furnace Brook,70,0,3,13,2,0,0,0,69,18,-1,13,5,3,30,1.67,0,0,0
,11/7/2025,11,Furnace Brook,70,0,2,9,7,0,0,0,75,18,5,9,9,3,32,1.78,1,0,0
,11/15/2025,11,Furnace Brook,70,0,1,12,4,1,0,0,75,18,5,10,8,3,32,1.78,0,0,0
,11/22/2025,11,Furnace Brook,70,0,1,13,4,0,0,0,73,18,3,11,7,4,30,1.67,1,1,1
,11/23/2025,11,Furnace Brook,70,0,3,5,10,0,0,0,77,18,7,9,9,2,34,1.89,3,0,0
,11/28/2025,11,Furnace Brook,70,0,1,9,6,2,0,0,79,18,9,9,9,2,34,1.89,2,0,0
,12/4/2025,12,Atlantis CC,72,0,3,11,4,0,0,0,73,18,1,10,8,4,30,1.67,0,0,0
,12/5/2025,12,Osprey Point CC,72,0,2,13,2,1,0,0,74,18,2,14,4,1,35,1.94,2,2,2
,12/6/2025,12,North Palm Beach CC,71,0,4,9,4,1,0,0,73,18,2,12,6,3,32,1.78,1,0,0
,12/13/2025,12,Furnace Brook,70,0,2,7,9,0,0,0,77,18,7,7,11,3,32,1.78,2,0,0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Totals,,86,,3,121,715,381,47,2,0,,1269,,,,,,,,,
,Scratch Goals,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,3/10/25: Post Work,,Furnace Brook,,,,,,,,,,,,,,,,,,,
,3/11/25: Post Work,,Furnace Brook,,,,,,,,,,,,,,,,,,,
,3/18/25: Post Work,,Furnace Brook,,,,,,,,,,,,,,,,,,,
,3/26/25: Post Work,,Furnace Brook,,,,,,,,,,,,,,,,,,,
,4/1/25: Post Work,,Furnace Brook,,,,,,,,,,,,,,,,,,,
,4/3/25: Post Work,,Furnace Brook,,,,,,,,,,,,,,,,,,,
,4/9/25: Post Work,,Furnace Brook,,,,,,,,,,,,,,,,,,,
,4/15/25: Post Work,,Furnace Brook,,,,,,,,,,,,,,,,,,,
,4/22/25: Post Work,,Granite,,,,,,,,,,,,,,,,,,,
,4/25/25: Post Work,,Presidents,,,,,,,,,,,,,,,,,,,
,5/7/25: Post Work,,Granite,,,,,,,,,,,,,,,,,,,
,5/12/25: Post Work,,Furnace Brook,,,,,,,,,,,,,,,,,,,
,5/13/25: Post Work,,Granite,,,,,,,,,,,,,,,,,,,
,5/24/25: Gov Cup 1,,Furnace Brook,,,,,,,,,,,,,,,,,,,
,5/25/25: Gov Cup 2,,Furnace Brook,,,,,,,,,,,,,,,,,,,
,6/20/25: Post Work,,Granite,,,,,,,,,,,,,,,,,,,
,7/6/2025: Sunday ,,Granite,,,,,,,,,,,,,,,,,,,
,7/8/2025: Post Work,,Granite,,,,,,,,,,,,,,,,,,,
,7/13/2024: Sum HI-Lo,7,Furnace Brook,70,0,4,12,2,0,0,0,68,18,-2,12,6,4,29,1.61,0,0,0
,7/15/2025: Post Work,,Granite,,,,,,,,,,,,,,,,,,,
,7/22/2025: Post Work,,Furnace Brook,,,,,,,,,,,,,,,,,,,
,7/29/2025: Post Work,,Granite,,,,,,,,,,,,,,,,,,,
,7/29/2025: Post Work,,Granite,,,,,,,,,,,,,,,,,,,
,8/20/2025: Post Work,,Furnace Brook,,,,,,,,,,,,,,,,,,,
,9/4/2025: Post Work (Dad),,Furnace Brook,,,,,,,,,,,,,,,,,,,
,9/9/2025: Post Work,,Granite,,,,,,,,,,,,,,,,,,,
,10/10/2025: Dodo,,George Wright,,,,,,,,,,,,,,,,,,,